# Copyright (C) 1991-2014 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.4 Build 182 03/12/2014 SJ Full Version
# File: D:\uni\Lehre\SystemOnaChip\VHDL\CycloneV_GX_pin_assignments.csv
# Generated on: Tue Mar 25 07:56:25 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
altera_reserved_tck,Input,,,,PIN_Y5,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_T6,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_V7,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_R6,,,,,,,,,,,,,
CLOCK_50_B5B,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,
CPU_RESET_n,Input,PIN_AB24,5A,B5A_N0,PIN_AB24,3.3-V LVTTL,,,,,,,,,,,,
HEX0[6],Output,PIN_Y18,4A,B4A_N0,PIN_Y18,1.2 V,,,,,,,,,,,,
HEX0[5],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,1.2 V,,,,,,,,,,,,
HEX0[4],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,1.2 V,,,,,,,,,,,,
HEX0[3],Output,PIN_W18,4A,B4A_N0,PIN_W18,1.2 V,,,,,,,,,,,,
HEX0[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,1.2 V,,,,,,,,,,,,
HEX0[1],Output,PIN_V18,4A,B4A_N0,PIN_V18,1.2 V,,,,,,,,,,,,
