# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Full Version
# File: M:\Altera_VHDL\ETTI4_Applications\DE0_CycloneIII_Eval_Board\Version_1_2\Quartus\pinning_top_level_de0_nano_nios_ucosii_via_assignment_editor.csv
# Generated on: Fri Feb 15 12:45:35 2013

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,CLOCK_50,Location,PIN_R8,Yes,,,
Ok,,CLOCK_50,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,RESET_n,Location,PIN_R9,Yes,,,
Ok,,KEY_EVAL[3],Location,PIN_R13,Yes,,,
Ok,,KEY_EVAL[2],Location,PIN_R12,Yes,,,
Ok,,KEY_EVAL[1],Location,PIN_T10,Yes,,,
Ok,,KEY_EVAL[0],Location,PIN_P11,Yes,,,
Ok,,LEDG_DE0[7],Location,PIN_L3,Yes,,,
Ok,,LEDG_DE0[6],Location,PIN_B1,Yes,,,
Ok,,LEDG_DE0[5],Location,PIN_F3,Yes,,,
Ok,,LEDG_DE0[4],Location,PIN_D1,Yes,,,
Ok,,LEDG_DE0[3],Location,PIN_A11,Yes,,,
Ok,,LEDG_DE0[2],Location,PIN_B13,Yes,,,
Ok,,LEDG_DE0[1],Location,PIN_A13,Yes,,,
Ok,,LEDG_DE0[0],Location,PIN_A15,Yes,,,
Ok,,LEDG_SER_CLK_EVAL,Location,PIN_T15,Yes,,,
Ok,,LEDG_SER_DATA_EVAL,Location,PIN_F13,Yes,,,
Ok,,LEDR_EVAL[7],Location,PIN_N12,Yes,,,
Ok,,LEDR_EVAL[6],Location,PIN_N9,Yes,,,
Ok,,LEDR_EVAL[5],Location,PIN_L16,Yes,,,
Ok,,LEDR_EVAL[4],Location,PIN_R16,Yes,,,
Ok,,LEDR_EVAL[3],Location,PIN_P15,Yes,,,
Ok,,LEDR_EVAL[2],Location,PIN_R14,Yes,,,
Ok,,LEDR_EVAL[1],Location,PIN_N15,Yes,,,
Ok,,LEDR_EVAL[0],Location,PIN_L14,Yes,,,
Ok,,SW_EVAL[7],Location,PIN_M10,Yes,,,
Ok,,SW_EVAL[6],Location,PIN_J16,Yes,,,
Ok,,SW_EVAL[5],Location,PIN_J13,Yes,,,
Ok,,SW_EVAL[4],Location,PIN_J14,Yes,,,
Ok,,SW_EVAL[3],Location,PIN_K15,Yes,,,
Ok,,SW_EVAL[2],Location,PIN_L13,Yes,,,
Ok,,SW_EVAL[1],Location,PIN_N14,Yes,,,
Ok,,SW_EVAL[0],Location,PIN_P14,Yes,,,
Ok,,DRAM_ADDR[12],Location,PIN_L4,Yes,,,
Ok,,DRAM_ADDR[11],Location,PIN_N1,Yes,,,
Ok,,DRAM_ADDR[10],Location,PIN_N2,Yes,,,
Ok,,DRAM_ADDR[9],Location,PIN_P1,Yes,,,
Ok,,DRAM_ADDR[8],Location,PIN_R1,Yes,,,
Ok,,DRAM_ADDR[7],Location,PIN_T6,Yes,,,
Ok,,DRAM_ADDR[6],Location,PIN_N8,Yes,,,
Ok,,DRAM_ADDR[5],Location,PIN_T7,Yes,,,
Ok,,DRAM_ADDR[4],Location,PIN_P8,Yes,,,
Ok,,DRAM_ADDR[3],Location,PIN_M8,Yes,,,
Ok,,DRAM_ADDR[2],Location,PIN_N6,Yes,,,
Ok,,DRAM_ADDR[1],Location,PIN_N5,Yes,,,
Ok,,DRAM_ADDR[0],Location,PIN_P2,Yes,,,
Ok,,DRAM_BA[1],Location,PIN_M6,Yes,,,
Ok,,DRAM_BA[0],Location,PIN_M7,Yes,,,
Ok,,DRAM_CAS_N,Location,PIN_L1,Yes,,,
Ok,,DRAM_CKE,Location,PIN_L7,Yes,,,
Ok,,DRAM_CLK,Location,PIN_R4,Yes,,,
Ok,,DRAM_CS_N,Location,PIN_P6,Yes,,,
Ok,,DRAM_DQ[15],Location,PIN_K1,Yes,,,
Ok,,DRAM_DQ[14],Location,PIN_N3,Yes,,,
Ok,,DRAM_DQ[13],Location,PIN_P3,Yes,,,
Ok,,DRAM_DQ[12],Location,PIN_R5,Yes,,,
Ok,,DRAM_DQ[11],Location,PIN_R3,Yes,,,
Ok,,DRAM_DQ[10],Location,PIN_T3,Yes,,,
Ok,,DRAM_DQ[9],Location,PIN_T2,Yes,,,
Ok,,DRAM_DQ[8],Location,PIN_T4,Yes,,,
Ok,,DRAM_DQ[7],Location,PIN_R7,Yes,,,
Ok,,DRAM_DQ[6],Location,PIN_J1,Yes,,,
Ok,,DRAM_DQ[5],Location,PIN_J2,Yes,,,
Ok,,DRAM_DQ[4],Location,PIN_K2,Yes,,,
Ok,,DRAM_DQ[3],Location,PIN_K5,Yes,,,
Ok,,DRAM_DQ[2],Location,PIN_L8,Yes,,,
Ok,,DRAM_DQ[1],Location,PIN_G1,Yes,,,
Ok,,DRAM_DQ[0],Location,PIN_G2,Yes,,,
Ok,,DRAM_DQM[1],Location,PIN_T5,Yes,,,
Ok,,DRAM_DQM[0],Location,PIN_R6,Yes,,,
Ok,,DRAM_RAS_N,Location,PIN_L2,Yes,,,
Ok,,DRAM_WE_N,Location,PIN_C2,Yes,,,
Ok,,DRAM_BA[0],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_BA[1],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQM[0],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQM[1],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_RAS_N,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_CAS_N,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_CKE,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_CLK,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_WE_N,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_CS_N,I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[0],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[1],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[2],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[3],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[4],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[5],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[6],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[7],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[8],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[9],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[10],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[11],I/O Standard,3.3-V LVTTL,Yes,,,
